"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"fbe66b248245a4fcde10f223f9523a6a","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA,NA
"c05d05cf341f3a87f0ac22b316f24932","d__Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",NA,NA
"ca0ad06adfc02fd8bad957b15a049f1a","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"0bf9ef8349653e9b53735b9cac794cae","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
"70ffeb8bb46a6c1a54a6383b623c3014","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"743f7427f26f3b8618c4492ac33f6925","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus",NA
"3e41f5dc7f50cace3a368a317086971f","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"02779d18eebe34ba4f3afd2e2ec7c3f5","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus",NA
"c159f22e6fe64865035331905efbbd9c","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"1f0e3d3841978906a79da2d17ef64b97","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"e4e56d1c83f43d91f04a934630a6cd72","d__Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",NA
"13dd63ae43994cc8cf775c9bfb5cf6e3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA
"3fc13f966fdaa98ea1cf922ee15076d4","d__Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"796b0a91e634cfb692dcd3e105880860","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"71b2d0c41a2058b9fc6018ebf87232a4","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13",NA
"b598a8a96cd629b546726d2b7e71e5d2","d__Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"585296166c3bfdc471ee87f9f07e42a4","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"009e5b1560db86d9bbcdc135efc72844","d__Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Kurthia",NA
"a60dda55c2ba78154b89f6104a9e883e","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus",NA
"fd48c45227452c30b267bf05f895cec4","d__Bacteria",NA,NA,NA,NA,NA,NA
"bc94764bfc3e8797c88c2550e38d5114","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"a2bd26d18e61ac10354cf6c01058b6cc","d__Bacteria","WPS-2","WPS-2","WPS-2","WPS-2","WPS-2",NA
"bc57809856fa7833f3f6bd17810a2ed5","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia",NA
"0476fae9750df2870bb3095a9d5306a3","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chroococcidiopsaceae","Chroococcidiopsis_SAG_2023",NA
"bdabe4a4cd928f1951a8faf6576a1503","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"041f0e81308df00471ce8e5538e7b696","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium]_fissicatena_group",NA
"58b1bd32eedb958b0345864e7d8befe8","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus",NA
"7ffc3c55cb1be56f95910dd6238c4198","d__Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14",NA
"12fcbe3b09802bb07cd46f63bc84f0ec","d__Bacteria","Elusimicrobiota","Rs-M47","Rs-M47","Rs-M47","Rs-M47",NA
"e4f1dae9c3badfd2f75b3e3552da5db8","d__Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"35f46cf17d3eaff54579dc99042ce60a","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"0154e5488e47cfba68ff5e43a38a0029","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",NA
"5a425fd3a06637158871caa62bfa8691","d__Bacteria","Dependentiae","Babeliae","Babeliales",NA,NA,NA
"27c249e001adeaecfd2e9319bd442181","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1",NA
"1889aaae2441e5a8ebadd15f826dca98","d__Bacteria",NA,NA,NA,NA,NA,NA
"59a0bb4e6a06bfd681a94d33bf6e136f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"cbecdd93d87cd549d6737ce0631ae832","d__Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",NA
"d91808644613d73486b75a6a95fdb6d7","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",NA
"e381423db82dd7946fdadde1f52a472d","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a",NA
"f60da911cba304dbd8902dd4b0d87063","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter",NA
"60e4319f9b9d6d545f15443759cdf143","d__Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15",NA
"014102ae5742ec90307bfc725a046ce6","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"b78487235bfda105beb1910db7e83823","d__Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"9491f07c335a1c82155f86932047ce2c","d__Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA
"8f961fd35db5ccd019f02997f8263dc1","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"ae1d3448e0792e8b1832dcd322e59382","d__Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"620db4a89de438e891fa31b220a5695d","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Friedmanniella",NA
"7d3355dd492006a3fcdb472ae40df2d1","d__Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"4bfb4b2ab72dda9d334e39caf8bba4a8","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA
"e14f54054876c29f60ad34516b80d8fa","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA
